Header,HeaderPin,Name,CapePinId,LEDScapePinId
P8,1,GND,,
P8,2,GND,,
P8,3,GPIO1_6,,
P8,4,GPIO1_7,,
P8,5,GPIO1_2,,
P8,6,GPIO1_3,,
P8,7,GPIO2_2,P24,31
P8,8,GPIO2_3,P7,0
P8,9,GPIO2_5,P25,30
P8,10,GPIO2_4,P6,1
P8,11,GPIO1_13,P26,29
P8,12,GPIO1_12,P5,2
P8,13,GPIO0_23,P27,28
P8,14,GPIO0_26,P4,3
P8,15,GPIO1_15,P28,27
P8,16,GPIO1_14,P3,4
P8,17,GPIO0_27,P29,26
P8,18,GPIO2_1,P2,5
P8,19,GPIO0_22,P30,25
P8,20,GPIO1_31,,
P8,21,GPIO1_30,,
P8,22,GPIO1_5,,
P8,23,GPIO1_4,,
P8,24,GPIO1_1,,
P8,25,GPIO1_0,,
P8,26,GPIO1_29,,
P8,27,GPIO2_22,P31,24
P8,28,GPIO2_24,,
P8,29,GPIO2_23,P16,23
P8,30,GPIO2_25,P1,6
P8,31,GPIO0_10,P17,22
P8,32,GPIO0_11,P0,7
P8,33,GPIO0_9,P18,21
P8,34,GPIO2_17,P15,8
P8,35,GPIO0_8,P19,20
P8,36,GPIO2_16,P14,9
P8,37,GPIO2_14,P20,19
P8,38,GPIO2_15,P13,10
P8,39,GPIO2_12,P21,18
P8,40,GPIO2_13,P12,11
P8,41,GPIO2_10,P22,17
P8,42,GPIO2_11,P11,12
P8,43,GPIO2_8,P23,16
P8,44,GPIO2_9,P10,13
P8,45,GPIO2_6,P8,15
P8,46,GPIO2_7,P9,14
P9,1,GND,,
P9,2,GND,,
P9,3,3.3V,,
P9,4,3.3V,,
P9,5,VDD_5V,,
P9,6,VDD_5V,,
P9,7,SYS_5V,,
P9,8,SYS_5V,,
P9,9,PWR_BTN,,
P9,10,SYS_RESET,,
P9,11,GPIO0_30,P40,47
P9,12,GPIO1_28,P41,32
P9,13,GPIO0_31,P42,46
P9,14,GPIO1_18,P43,33
P9,15,GPIO1_16,P44,45
P9,16,GPIO1_19,P45,34
P9,17,GPIO0_5,,
P9,18,GPIO0_4,,
P9,19,GPIO0_13,,
P9,20,GPIO0_12,,
P9,21,GPIO0_3,P46,44
P9,22,GPIO0_2,P47,35
P9,23,GPIO1_17,P32,43
P9,24,GPIO0_15,,
P9,25,GPIO3_21,,
P9,26,GPIO0_14,P33,36
P9,27,GPIO3_19,,
P9,28,GPIO3_17,P34,37
P9,29,GPIO3_15,P35,42
P9,30,GPIO3_16,P36,38
P9,31,GPIO3_14,P37,41
P9,32,VADC,,
P9,33,AIN4,,
P9,34,AGND,,
P9,35,AIN6,,
P9,36,AIN5,,
P9,37,AIN2,,
P9,38,AIN3,,
P9,39,AIN0,,
P9,40,AIN1,,
P9,41,GPIO0_20,P38,40
P9,42,GPIO0_7,P39,39
P9,43,GND,,
P9,44,GND,,
P9,45,GND,,
P9,46,GND,,
